date_utc,price_usd,high_usd,low_usd,source
2025-10-10,0.998300,0.999800,0.985000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-11,0.998900,0.999300,0.997400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-12,0.999000,1.000000,0.998800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-13,0.999100,0.999400,0.998900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-14,0.999400,1.000000,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-15,0.999400,0.999600,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-16,0.999700,0.999800,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-17,0.999500,1.000000,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-18,0.999500,0.999600,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-19,0.999500,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-20,0.999700,1.000000,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-21,0.999500,0.999900,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-22,0.999700,1.000000,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-23,0.999500,0.999900,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-24,0.999800,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-25,0.999800,0.999800,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
